Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1691.9078017391303
FDW14,OUT017,1481.8506141732287
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2222.6712822580653
FDY38,OUT027,6280.890880000001
FDH56,OUT046,1922.149381714286
FDL48,OUT018,713.8586545454549
FDC48,OUT027,2517.8820884848474
FDN33,OUT045,1559.342975268817
FDA36,OUT017,2827.3566888888895
FDT44,OUT017,1922.149381714286
FDQ56,OUT045,1481.8506141732287
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2089.971043283581
DRL59,OUT013,713.8586545454549
FDM24,OUT049,2490.5268867052023
FDI57,OUT045,2919.0371914893626
DRC12,OUT018,2919.0371914893626
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.69954262295084
FDA31,OUT013,2851.63169587629
NCJ31,OUT035,3719.064328378379
FDG52,OUT046,798.2176035398223
NCL19,OUT019,281.4820818181818
FDS10,OUT035,2919.0371914893626
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398223
NCE06,OUT046,2222.6712822580653
DRC27,OUT046,3881.9171284552845
FDE21,OUT035,1922.149381714286
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2911.4114396396403
NCR06,OUT018,507.046403669725
FDU31,OUT027,5329.314724444443
FDU59,OUT017,2611.459542342342
FDR03,OUT027,5329.314724444443
FDS49,OUT027,2517.8820884848474
FDD48,OUT010,281.4820818181818
NCF18,OUT017,2919.0371914893626
NCD43,OUT027,2517.8820884848474
NCD54,OUT018,1752.2524399999998
FDY19,OUT010,281.4820818181818
NCY54,OUT017,2851.63169587629
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1499.24844
FDR14,OUT010,165.91858165137612
NCS41,OUT035,3328.207380952381
FDF41,OUT035,3719.064328378379
FDU34,OUT046,1952.3712349514567
DRH11,OUT046,935.0323883040938
FDM03,OUT013,1499.24844
FDS31,OUT017,3328.207380952381
FDJ20,OUT017,2089.971043283581
FDV44,OUT027,5329.314724444443
FDG02,OUT049,2827.3566888888895
FDA09,OUT013,2851.63169587629
FDT04,OUT013,507.046403669725
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1424.5946902777778
FDW12,OUT035,2490.5268867052023
FDL51,OUT017,3881.9171284552845
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.342975268817
FDN40,OUT045,2490.5268867052023
FDB35,OUT027,2517.8820884848474
FDA22,OUT017,2611.459542342342
NCL06,OUT046,4606.651356603774
FDI35,OUT013,3328.207380952381
NCW42,OUT045,3881.9171284552845
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.8820884848474
FDZ14,OUT018,1752.2524399999998
DRG49,OUT049,3719.064328378379
NCG06,OUT045,4054.674014414415
DRC36,OUT045,2851.63169587629
FDV21,OUT019,281.4820818181818
FDB53,OUT046,2660.950403030303
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.950403030303
DRC24,OUT035,2660.950403030303
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1559.342975268817
FDU58,OUT013,2911.4114396396403
FDY27,OUT017,2851.63169587629
FDV56,OUT035,1784.4287381818174
FDT59,OUT046,3627.5498912621374
FDB23,OUT046,3627.5498912621374
FDR49,OUT045,798.2176035398223
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993013
FDX02,OUT027,5329.314724444443
FDQ16,OUT027,2517.8820884848474
FDU35,OUT018,1372.688490740741
NCT29,OUT013,2089.971043283581
FDZ27,OUT046,798.2176035398223
FDN57,OUT017,2252.9139603174604
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3328.207380952381
NCU05,OUT013,1243.0689297709926
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.342975268817
FDZ25,OUT017,2894.2207107142867
FDG12,OUT046,2293.906512903225
DRB01,OUT019,482.69954262295084
NCC43,OUT027,6280.890880000001
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539682
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.89728372093026
FDP27,OUT046,3480.072957352939
FDO38,OUT010,165.91858165137612
FDE28,OUT027,6280.890880000001
FDO27,OUT035,1559.342975268817
DRL23,OUT027,2517.8820884848474
FDS28,OUT046,935.0323883040938
FDX24,OUT013,1481.8506141732287
FDZ02,OUT035,1559.342975268817
FDL46,OUT045,1827.8328454545456
FDS60,OUT027,5329.314724444443
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1481.8506141732287
FDC60,OUT049,1259.54905131579
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.314724444443
FDK27,OUT045,1827.8328454545456
FDW23,OUT018,507.046403669725
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1691.9078017391303
FDW60,OUT018,2851.63169587629
FDE21,OUT013,1922.149381714286
NCM42,OUT035,1879.0540500000002
FDY59,OUT010,219.21852093023253
DRI49,OUT049,1259.54905131579
FDT28,OUT019,346.89728372093026
FDQ22,OUT018,507.046403669725
FDR60,OUT049,1259.54905131579
FDC50,OUT019,219.21852093023253
FDV24,OUT013,2490.5268867052023
DRF48,OUT010,482.69954262295084
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1559.342975268817
NCY06,OUT035,1952.3712349514567
FDE52,OUT035,1424.5946902777778
NCB54,OUT045,1827.8328454545456
NCF31,OUT035,2490.5268867052023
FDJ08,OUT027,5329.314724444443
