Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1407.8800482503416
FDW14,OUT017,1300.637184643129
NCN55,OUT010,715.204259741516
FDQ58,OUT017,2359.490969734226
FDY38,OUT027,5710.714122017863
FDH56,OUT046,1716.6438057523803
FDL48,OUT018,537.204496123835
FDC48,OUT027,2054.7927620723026
FDN33,OUT045,1462.4689045805032
FDA36,OUT017,2798.8117299610562
FDT44,OUT017,1731.3834381824547
FDQ56,OUT045,1420.3244616173704
NCC54,OUT019,691.722358436174
FDU11,OUT049,2068.491568297874
DRL59,OUT013,762.6009650173261
FDM24,OUT049,2521.6021781191744
FDI57,OUT045,3124.5379186741516
DRC12,OUT018,2840.03137824536
NCM42,OUT027,2785.4879662841304
FDA46,OUT010,477.7141128888498
FDA31,OUT013,2706.0035716555617
NCJ31,OUT035,3795.579484725515
FDG52,OUT046,712.0841441838608
NCL19,OUT019,288.8464122678401
FDS10,OUT035,2989.8864573470028
FDX22,OUT010,852.8417959605564
NCF19,OUT035,742.0099662924733
NCE06,OUT046,2065.6253474057144
DRC27,OUT046,3463.7687390933265
FDE21,OUT035,2332.865869158496
NCR42,OUT019,97.25200577396396
FDX51,OUT018,2618.608614432453
NCR06,OUT018,379.4363478986161
FDU31,OUT027,5321.615836596295
FDU59,OUT017,2168.185115571092
FDR03,OUT027,5933.760341265818
FDS49,OUT027,2253.715689026086
FDD48,OUT010,285.169725291151
NCF18,OUT017,3339.9890461639625
NCD43,OUT027,2409.22901374764
NCD54,OUT018,1600.7784282026812
FDY19,OUT010,208.10918936320473
NCY54,OUT017,2416.23983272642
NCL19,OUT018,2013.8643658549481
FDP23,OUT010,440.1713867697436
FDC26,OUT013,1923.8072827160847
FDR14,OUT010,92.61729256086996
NCS41,OUT035,3298.887492813644
FDF41,OUT035,3540.8724482986004
FDU34,OUT046,1998.3789557472587
DRH11,OUT046,927.6489746283672
FDM03,OUT013,1711.1545192626998
FDS31,OUT017,3192.8822554260955
FDJ20,OUT017,1760.8302151022176
FDV44,OUT027,4920.140975515761
FDG02,OUT049,3018.3979576890715
FDA09,OUT013,3659.2624404206335
FDT04,OUT013,639.7581592159179
FDL58,OUT019,648.9653551241976
FDE52,OUT045,1228.6070305851895
FDW12,OUT035,2574.996740688712
FDL51,OUT017,3592.819806202303
NCY42,OUT027,3318.375826104812
FDR07,OUT017,1410.6158352664024
FDN40,OUT045,2164.8046486062876
FDB35,OUT027,2539.0821360674304
FDA22,OUT017,2389.4387753676433
NCL06,OUT046,4266.436268410601
FDI35,OUT013,3675.178844964557
NCW42,OUT045,3946.9414220610884
NCX06,OUT049,3243.322656031748
FDC37,OUT027,2890.027744771129
FDZ14,OUT018,1881.556763170605
DRG49,OUT049,4023.826525161054
NCG06,OUT045,3394.9883907180374
DRC36,OUT045,2598.6105484774457
FDV21,OUT019,296.0915811423853
FDB53,OUT046,2703.900900430445
DRP47,OUT019,460.89023866719225
FDA14,OUT013,2449.906191511421
DRC24,OUT035,2725.9207356145944
FDW21,OUT018,1494.9587751228123
NCH29,OUT046,1689.4011615384918
FDU58,OUT013,2958.453362770485
FDY27,OUT017,2805.0928326678686
FDV56,OUT035,1716.4737081079309
FDT59,OUT046,3837.0367537639695
FDB23,OUT046,2987.0240945297837
FDR49,OUT045,784.7763216731639
FDB03,OUT010,647.3024528934683
FDN39,OUT045,3205.5546173592556
FDX02,OUT027,5559.571136895992
FDQ16,OUT027,3019.004527678705
FDU35,OUT018,1601.3716441719605
NCT29,OUT013,1753.1943053080147
FDZ27,OUT046,684.4707440112213
FDN57,OUT017,1873.1242123109898
FDA03,OUT018,2131.792115536544
FDZ36,OUT045,3171.369559446247
NCU05,OUT013,1207.9032590752322
FDT39,OUT018,2036.9577272737101
FDK60,OUT017,1500.7549147324103
FDZ25,OUT017,3090.7667394612577
FDG12,OUT046,2137.348567972231
DRB01,OUT019,590.5850836442575
NCC43,OUT027,6112.977503776638
FDX13,OUT019,769.9242835033317
FDM22,OUT049,1001.2100662161678
FDJ03,OUT027,1229.8963882134146
FDU14,OUT018,3955.6471142708456
FDB33,OUT010,400.56517482665396
FDP27,OUT046,3583.6790402926663
FDO38,OUT010,210.5790282047683
FDE28,OUT027,5854.66820290001
FDO27,OUT035,1637.8015494487058
DRL23,OUT027,2550.743029332128
FDS28,OUT046,848.1474086121842
FDX24,OUT013,1334.512616281286
FDZ02,OUT035,1356.8588394920864
FDL46,OUT045,1701.1945694486424
FDS60,OUT027,5018.192401369821
NCO06,OUT017,514.0188918714
FDO16,OUT035,1633.5090952511252
FDC60,OUT049,1403.6060091135203
FDA48,OUT018,2950.7322474798316
FDZ36,OUT027,5290.587799931193
FDK27,OUT045,1874.4439603396208
FDW23,OUT018,421.55650330175956
FDM14,OUT018,1311.3404023873688
FDM14,OUT013,1567.9672629769707
FDW60,OUT018,2740.8228746915725
FDE21,OUT013,2070.69558328131
NCM42,OUT035,1909.9698817679384
FDY59,OUT010,145.3907982174908
DRI49,OUT049,1181.2220679231477
FDT28,OUT019,239.86010854724864
FDQ22,OUT018,356.9998626219532
FDR60,OUT049,1189.588421836989
FDC50,OUT019,232.60494430540848
FDV24,OUT013,2359.056221898383
DRF48,OUT010,106.67830744076134
FDQ47,OUT046,683.7556100566899
DRN36,OUT049,1719.760634886654
NCY06,OUT035,2219.5203290232334
FDE52,OUT035,1533.7314440677978
NCB54,OUT045,1686.3377842759135
NCF31,OUT035,2417.3745016034227
FDJ08,OUT027,4894.329384408001
NCC07,OUT017,1702.0547018447962
NCD19,OUT027,1471.7071960340593
FDL46,OUT049,2165.873813149404
FDM20,OUT045,4278.768674547399
NCI06,OUT010,529.3621261993369
DRM11,OUT035,4597.850753053352
NCH07,OUT018,2287.1559964520357
FDS23,OUT013,2273.412339555403
FDO49,OUT018,651.7144569869762
FDS35,OUT049,1028.2457222330859
DRK39,OUT045,1253.7916220521938
DRI39,OUT049,1047.0902803134554
FDV04,OUT017,2244.119393866979
NCN14,OUT035,3131.1350431076057
FDH08,OUT013,4218.609765184272
FDS20,OUT046,3431.885294961733
FDV40,OUT049,1255.8274351154557
FDZ48,OUT010,242.63830910824328
FDS24,OUT027,2489.382488352522
FDK44,OUT049,2513.311631548629
FDS48,OUT045,2759.4391841341226
FDK26,OUT010,616.9813960334329
FDD23,OUT045,3018.2682589888195
NCH54,OUT017,2783.9887047563343
NCP14,OUT010,316.8535881457777
FDM60,OUT010,184.02808570963902
FDV24,OUT017,2339.230661746297
FDH08,OUT018,3306.5467021866457
FDS12,OUT027,3319.1227905349074
FDR39,OUT027,4988.849502552092
FDP12,OUT027,986.6399392731206
DRF60,OUT027,5654.064555788067
FDC09,OUT035,1950.6194770632023
FDF50,OUT018,2846.6440426692934
FDG28,OUT035,3780.221868004937
NCE19,OUT017,908.6570767762944
NCM53,OUT010,214.15936581592854
NCN18,OUT049,1614.4285591949986
FDF32,OUT035,3291.053089038843
FDF11,OUT013,4287.853644590784
DRI59,OUT049,4008.8552470607506
NCG54,OUT035,2770.9074585922526
FDM44,OUT046,1701.101491334738
FDT57,OUT018,3680.7420889124796
FDV24,OUT046,2367.085844610576
FDI50,OUT019,818.1440611148735
FDS09,OUT035,782.2280681939669
NCC31,OUT027,4143.037383280122
FDQ07,OUT019,517.164577001365
FDC22,OUT017,3530.8644723281873
FDZ56,OUT046,2787.48850933248
FDZ40,OUT019,170.7029800174241
FDS46,OUT027,3237.766169086869
DRD24,OUT045,1842.3891235254023
FDV45,OUT017,3249.8014187342856
FDL26,OUT045,2580.837821884264
FDA56,OUT018,1770.7530113961811
FDN27,OUT046,1702.7927629567087
FDM20,OUT049,4545.04204312389
FDO16,OUT017,1606.4130378889
FDL03,OUT035,3339.6065730563787
FDE58,OUT046,1864.673933857903
FDI02,OUT027,3114.7035287002664
NCC55,OUT019,57.8072915686599
FDR03,OUT018,2944.2463442373064
FDB14,OUT017,1521.674298785833
FDR45,OUT013,4418.316804770035
NCN07,OUT017,2086.9857987191144
FDM51,OUT019,258.65231001967163
FDT52,OUT027,5925.326193417739
FDL26,OUT046,2506.322530525827
NCZ42,OUT046,3589.0257328662824
DRI47,OUT019,551.9143952984108
FDW40,OUT013,2449.5808092420257
FDN34,OUT046,3352.9876291867918
FDS01,OUT035,2959.9382993029244
NCG55,OUT045,1828.1386126945742
FDC11,OUT035,1291.1480485394322
FDX35,OUT018,3185.275544116118
NCB06,OUT046,2630.541010050261
FDR09,OUT019,658.8441464587543
FDC53,OUT017,1483.0063412976517
FDY45,OUT013,4714.169549247995
FDA22,OUT010,447.8846882867676
FDE02,OUT035,1581.7157184686057
FDW21,OUT045,1747.87591205638
FDV34,OUT046,1239.6424411373391
FDS59,OUT049,1810.3397719057205
NCW17,OUT017,2438.978073011104
NCK54,OUT046,1929.119435837113
FDG17,OUT019,330.57078087163654
FDG35,OUT017,3392.4535610563034
FDD08,OUT010,215.43672084340807
NCO07,OUT017,3749.5221449022465
FDJ10,OUT010,351.97884538673804
FDW36,OUT017,1596.180364046118
FDW21,OUT010,382.478808544828
FDY19,OUT017,2150.1902764355787
DRE03,OUT013,713.7742564369468
NCC55,OUT049,679.838150411704
FDH52,OUT010,144.818472428285
FDO09,OUT017,4165.037388244081
FDU43,OUT045,3944.4439113437634
FDX09,OUT010,373.536301157566
FDH40,OUT019,276.5546591794629
FDW58,OUT017,1556.312469312633
FDC47,OUT017,4192.140810780731
NCR41,OUT035,1560.9389799356043
DRG49,OUT035,4015.8241356927715
FDC52,OUT027,3933.4786059687285
FDY13,OUT046,1311.6174850088335
FDY35,OUT013,619.1288075622826
FDI35,OUT017,4128.78068540058
NCU18,OUT049,2306.866159923763
FDY33,OUT018,2526.9597499050133
FDC15,OUT027,3932.139926548313
FDU01,OUT049,3479.97577118863
NCU42,OUT046,3023.16737982152
NCV29,OUT018,2890.8689604333704
NCY30,OUT017,3224.7350233012758
FDQ46,OUT049,1995.2862591998214
FDG58,OUT027,3775.0864633839624
FDK33,OUT017,3881.540498034326
NCD07,OUT045,1466.0829417340935
NCX29,OUT027,3970.7276622784484
NCT42,OUT013,1994.222649261058
DRN59,OUT035,760.5929511711194
FDI44,OUT035,1210.5283011159415
FDA45,OUT049,2421.5497296219273
FDP31,OUT045,885.9512495480153
FDY01,OUT046,2015.98492308826
FDT09,OUT018,1774.867044247716
DRH03,OUT027,2496.1681895700285
FDA36,OUT018,2266.185717657625
NCF31,OUT017,2209.5918340267135
FDG14,OUT049,2570.715016628181
FDG28,OUT027,5838.163614142502
FDU14,OUT049,4544.924414204039
FDY47,OUT019,289.4096086102197
FDI56,OUT049,1462.1106176688963
DRD01,OUT013,858.8338136339738
FDM22,OUT046,1092.3635352322679
FDH33,OUT013,735.7626838516094
