Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1473.7362095365477
FDW14,OUT017,1301.3263928658375
NCN55,OUT010,568.8076216746399
FDQ58,OUT017,2187.1957757143036
FDY38,OUT027,5648.322337544423
FDH56,OUT046,1544.9515292507988
FDL48,OUT018,607.0456665112986
FDC48,OUT027,2137.80373481008
FDN33,OUT045,1492.9139619157147
FDA36,OUT017,2753.453892583511
FDT44,OUT017,1766.3547897743406
FDQ56,OUT045,1579.7208002953669
NCC54,OUT019,839.8239405194099
FDU11,OUT049,2012.2667469009791
DRL59,OUT013,793.2592065068661
FDM24,OUT049,2499.820975982504
FDI57,OUT045,3334.196213136523
DRC12,OUT018,2774.7485533074996
NCM42,OUT027,2634.1134783174143
FDA46,OUT010,677.6228163674814
FDA31,OUT013,2571.2400857666858
NCJ31,OUT035,3677.3819009085096
FDG52,OUT046,737.6373923881214
NCL19,OUT019,239.24958992364915
FDS10,OUT035,2677.4045833758623
FDX22,OUT010,618.2421962288017
NCF19,OUT035,695.8476444267203
NCE06,OUT046,2198.437014293391
DRC27,OUT046,3904.7130762851457
FDE21,OUT035,2063.2087521588205
NCR42,OUT019,11.420509553643374
FDX51,OUT018,2714.5698905984464
NCR06,OUT018,463.7080210079858
FDU31,OUT027,5303.2837917168235
FDU59,OUT017,2205.9766689512508
FDR03,OUT027,5933.8048372510575
FDS49,OUT027,2222.774360396758
FDD48,OUT010,419.4919242125294
NCF18,OUT017,3337.051806855401
NCD43,OUT027,2635.5065714594994
NCD54,OUT018,1644.3565473203505
FDY19,OUT010,268.00328194923367
NCY54,OUT017,2558.717314739755
NCL19,OUT018,1964.079423778546
FDP23,OUT010,402.9995952401183
FDC26,OUT013,1751.902525380937
FDR14,OUT010,101.76101360039065
NCS41,OUT035,3337.662370784032
FDF41,OUT035,3609.4168364455277
FDU34,OUT046,1939.2685811479867
DRH11,OUT046,819.3782799086639
FDM03,OUT013,1680.6645334445589
FDS31,OUT017,3171.9888409005675
FDJ20,OUT017,1823.734689471614
FDV44,OUT027,5147.65379138754
FDG02,OUT049,2724.7105077926253
FDA09,OUT013,3256.771415460717
FDT04,OUT013,554.9513919988871
FDL58,OUT019,857.8120538943742
FDE52,OUT045,1421.0973255849415
FDW12,OUT035,2410.4849962364538
FDL51,OUT017,3241.5087756684757
NCY42,OUT027,3227.602474327911
FDR07,OUT017,1434.7750284512085
FDN40,OUT045,2232.7648367746865
FDB35,OUT027,2497.8383508142865
FDA22,OUT017,2423.366425602863
NCL06,OUT046,4798.731952382576
FDI35,OUT013,3535.320361488896
NCW42,OUT045,4015.34713376846
NCX06,OUT049,2977.2187159694813
FDC37,OUT027,2760.1052404880056
FDZ14,OUT018,1798.156750231458
DRG49,OUT049,4261.559863169636
NCG06,OUT045,3644.3284970036566
DRC36,OUT045,2760.1857974829404
FDV21,OUT019,247.37406096356943
FDB53,OUT046,2806.184205871438
DRP47,OUT019,580.6862724047965
FDA14,OUT013,2613.1653771378396
DRC24,OUT035,2568.8096636398755
FDW21,OUT018,1488.5036963865268
NCH29,OUT046,1657.2543335044222
FDU58,OUT013,3422.439959891971
FDY27,OUT017,2940.246459661219
FDV56,OUT035,1565.9946065675515
FDT59,OUT046,4183.299974036121
FDB23,OUT046,3288.010871955401
FDR49,OUT045,868.2610561173506
FDB03,OUT010,780.1064168953652
FDN39,OUT045,2970.010510653876
FDX02,OUT027,5543.0889522255575
FDQ16,OUT027,2782.5105258700246
FDU35,OUT018,1564.2771416330122
NCT29,OUT013,1799.8711124767299
FDZ27,OUT046,653.2160003929973
FDN57,OUT017,1892.1607359013706
FDA03,OUT018,2055.9059473927477
FDZ36,OUT045,3353.981981513657
NCU05,OUT013,1339.0939538974997
FDT39,OUT018,1989.4602112333764
FDK60,OUT017,1438.5397518953578
FDZ25,OUT017,2952.083581953355
FDG12,OUT046,1958.303339177708
DRB01,OUT019,700.0396106136319
NCC43,OUT027,5955.417594028887
FDX13,OUT019,822.1606127050054
FDM22,OUT049,943.0996514559404
FDJ03,OUT027,1260.722252802469
FDU14,OUT018,3808.218976935173
FDB33,OUT010,497.24842902757354
FDP27,OUT046,3585.0591447423963
FDO38,OUT010,124.9207232017212
FDE28,OUT027,5765.510875461639
FDO27,OUT035,1475.387697078392
DRL23,OUT027,2566.661196596122
FDS28,OUT046,873.623459798369
FDX24,OUT013,1483.6457712625167
FDZ02,OUT035,1257.2199778496026
FDL46,OUT045,1785.2017408568668
FDS60,OUT027,4821.737436293014
NCO06,OUT017,480.0388389921438
FDO16,OUT035,1550.5719413110564
FDC60,OUT049,1583.396739411593
FDA48,OUT018,3170.248511593668
FDZ36,OUT027,5266.636828214519
FDK27,OUT045,1961.1418643385794
FDW23,OUT018,504.86500721190515
FDM14,OUT018,1422.4906257084572
FDM14,OUT013,1628.6217545660063
FDW60,OUT018,2698.3468391103015
FDE21,OUT013,2054.5224157490784
NCM42,OUT035,1707.484822213525
FDY59,OUT010,203.4561360715712
DRI49,OUT049,1293.7309807116583
FDT28,OUT019,250.94933309227437
FDQ22,OUT018,447.3985944377443
FDR60,OUT049,1224.674950009828
FDC50,OUT019,244.92930346414983
FDV24,OUT013,2425.263596648046
DRF48,OUT010,179.00236199025824
FDQ47,OUT046,655.1373988250718
DRN36,OUT049,1732.3331811386574
NCY06,OUT035,2141.5878940388557
FDE52,OUT035,1421.0973255849415
NCB54,OUT045,1851.2243310083936
NCF31,OUT035,2324.4222646243015
FDJ08,OUT027,4846.9241169986735
NCC07,OUT017,1650.0665663784848
NCD19,OUT027,1324.1362686071402
FDL46,OUT049,2127.970409714518
FDM20,OUT045,4250.661528924493
NCI06,OUT010,627.5165497873916
DRM11,OUT035,4516.853307374285
NCH07,OUT018,2359.9229645413784
FDS23,OUT013,2295.416780020276
FDO49,OUT018,676.436931115537
FDS35,OUT049,1087.5586524504624
DRK39,OUT045,1363.8913294978854
DRI39,OUT049,1039.6822387228028
FDV04,OUT017,2316.5539798217346
NCN14,OUT035,3263.6885705717586
FDH08,OUT013,3854.170003084562
FDS20,OUT046,3389.944458878078
FDV40,OUT049,1265.2236845164148
FDZ48,OUT010,157.22251725059164
FDS24,OUT027,2540.1599652760938
FDK44,OUT049,2339.648586651081
FDS48,OUT045,2780.9909571311614
FDK26,OUT010,576.971189889132
FDD23,OUT045,3362.0553997845964
NCH54,OUT017,2821.0666930889597
NCP14,OUT010,306.08768096967805
FDM60,OUT010,227.1074291427156
FDV24,OUT017,2457.8693895574183
FDH08,OUT018,3190.0136293377896
FDS12,OUT027,3258.467877953338
FDR39,OUT027,4880.276460116701
FDP12,OUT027,910.2565881243505
DRF60,OUT027,5469.494333657207
FDC09,OUT035,1690.7608898318845
FDF50,OUT018,2785.4280697329864
FDG28,OUT035,3815.5924484288475
NCE19,OUT017,920.5017649745247
NCM53,OUT010,245.01205383098238
NCN18,OUT049,1678.3446625735812
FDF32,OUT035,2979.341684561037
FDF11,OUT013,4286.307288021663
DRI59,OUT049,3918.9098912777376
NCG54,OUT035,2860.2368332146184
FDM44,OUT046,1677.35239730947
