Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1837.254606173486
FDW14,OUT017,1553.2601828498746
NCN55,OUT010,1894.2582839786592
FDQ58,OUT017,2571.836904243416
FDY38,OUT027,5156.580515901999
FDH56,OUT046,1932.1660288462099
FDL48,OUT018,613.3899425395189
FDC48,OUT027,2773.4731932571813
FDN33,OUT045,1519.4599238237988
FDA36,OUT017,3067.227028043919
FDT44,OUT017,1984.050174928306
FDQ56,OUT045,1328.2172676895366
NCC54,OUT019,1864.0229451279922
FDU11,OUT049,2041.7853879351107
DRL59,OUT013,901.9157319135483
FDM24,OUT049,2533.7021797314865
FDI57,OUT045,3095.203508551561
DRC12,OUT018,2774.326294694928
NCM42,OUT027,3194.7889776190823
FDA46,OUT010,1147.8211362634165
FDA31,OUT013,2800.1818084549122
NCJ31,OUT035,3870.3755711716503
FDG52,OUT046,822.2985244537302
NCL19,OUT019,377.9955396703542
FDS10,OUT035,3006.356281098333
FDX22,OUT010,1462.6185792515953
NCF19,OUT035,926.1978044688974
NCE06,OUT046,2556.7772028330282
DRC27,OUT046,3858.5732217405675
FDE21,OUT035,2015.4694871328895
NCR42,OUT019,-1337.9099401228823
FDX51,OUT018,2869.3282830238804
NCR06,OUT018,457.26590862907057
FDU31,OUT027,4922.520362600783
FDU59,OUT017,2696.2712768086576
FDR03,OUT027,4730.272089521598
FDS49,OUT027,2748.520410203152
FDD48,OUT010,-53.08466719182823
NCF18,OUT017,3110.6400724041105
NCD43,OUT027,3100.0874058192376
NCD54,OUT018,2015.3645449721298
FDY19,OUT010,-16.598751158822807
NCY54,OUT017,2808.7051214480007
NCL19,OUT018,2041.105510653198
FDP23,OUT010,1542.5392754187023
FDC26,OUT013,1823.9736481743355
FDR14,OUT010,-1008.0310700686082
NCS41,OUT035,3022.2457570500974
FDF41,OUT035,4028.4569310091556
FDU34,OUT046,2014.762780488754
DRH11,OUT046,950.0483782114635
FDM03,OUT013,1739.6590607788894
FDS31,OUT017,3002.702088791142
FDJ20,OUT017,2081.401536276341
FDV44,OUT027,4469.742821545055
FDG02,OUT049,3089.7419988057554
FDA09,OUT013,2931.904452888546
FDT04,OUT013,685.6892898849583
FDL58,OUT019,2280.9168718006495
FDE52,OUT045,1453.8758880482071
FDW12,OUT035,2485.5932191502197
FDL51,OUT017,3527.64009319707
NCY42,OUT027,3687.807727586285
FDR07,OUT017,1656.3281785403506
FDN40,OUT045,2374.5647491142845
FDB35,OUT027,2941.786352200251
FDA22,OUT017,2723.1282695687496
NCL06,OUT046,4127.3942914824975
FDI35,OUT013,2912.4528699971606
NCW42,OUT045,3429.0831174748346
NCX06,OUT049,2934.568432207565
FDC37,OUT027,3189.7503655614873
FDZ14,OUT018,1740.0889664449567
DRG49,OUT049,3936.3833074937356
NCG06,OUT045,3971.568716146964
DRC36,OUT045,2729.6849698462183
FDV21,OUT019,65.45397397706711
FDB53,OUT046,2367.76904389397
DRP47,OUT019,2038.0492752829916
FDA14,OUT013,2348.4051342698394
DRC24,OUT035,2560.3851796367708
FDW21,OUT018,1412.9175387775713
NCH29,OUT046,1578.517704019995
FDU58,OUT013,3065.092030223929
FDY27,OUT017,2917.9725465323463
FDV56,OUT035,1934.9832924977115
FDT59,OUT046,3663.883096838679
FDB23,OUT046,3622.7686000553877
FDR49,OUT045,714.498481920072
FDB03,OUT010,1919.460922423495
FDN39,OUT045,2631.466823802707
FDX02,OUT027,4963.876754571117
FDQ16,OUT027,3181.5352184676003
FDU35,OUT018,1343.431469604253
NCT29,OUT013,1972.876863317959
FDZ27,OUT046,839.3028439836003
FDN57,OUT017,2336.722838796816
FDA03,OUT018,2100.272629932219
FDZ36,OUT045,2925.3915664314554
NCU05,OUT013,1339.66173319328
FDT39,OUT018,2193.860052982469
FDK60,OUT017,1693.7489002308082
FDZ25,OUT017,2824.497785204707
FDG12,OUT046,2021.8813620334095
DRB01,OUT019,1118.4224752721886
NCC43,OUT027,5361.942958392499
FDX13,OUT019,2029.613288539045
FDM22,OUT049,1016.0698814313733
FDJ03,OUT027,2297.3958673685947
FDU14,OUT018,3688.2362516303556
FDB33,OUT010,649.5708080765476
FDP27,OUT046,3022.69609552001
FDO38,OUT010,-646.8874033921209
FDE28,OUT027,5120.101318559588
FDO27,OUT035,1687.5009021985609
DRL23,OUT027,3162.324687128751
FDS28,OUT046,980.6767582175435
FDX24,OUT013,1545.1291486884218
FDZ02,OUT035,1734.6031144901688
FDL46,OUT045,1828.3500163640394
FDS60,OUT027,4282.4021566596575
NCO06,OUT017,643.3279051974828
FDO16,OUT035,1522.998555513158
FDC60,OUT049,1530.567594067511
FDA48,OUT018,3204.632790925468
FDZ36,OUT027,4443.12579993883
FDK27,OUT045,1896.2370571356207
FDW23,OUT018,403.79750636113346
FDM14,OUT018,1523.2717071217337
FDM14,OUT013,1788.014512375594
FDW60,OUT018,2605.5966651129474
FDE21,OUT013,1913.157036874178
NCM42,OUT035,1884.2845538716826
FDY59,OUT010,-364.2862893437025
DRI49,OUT049,1372.5384755676955
FDT28,OUT019,516.4686637787429
FDQ22,OUT018,427.44669948709685
FDR60,OUT049,1324.5814080279997
FDC50,OUT019,-387.8741797920907
FDV24,OUT013,2442.479848475681
DRF48,OUT010,1095.3194356291674
FDQ47,OUT046,661.5043933097753
DRN36,OUT049,1650.9836349504167
NCY06,OUT035,2174.231216279426
FDE52,OUT035,1630.857172201606
NCB54,OUT045,1964.703283925144
NCF31,OUT035,2547.969343430681
FDJ08,OUT027,4435.493805315357
NCC07,OUT017,1793.0985172704598
NCD19,OUT027,2332.303066173923
FDL46,OUT049,2010.5565113590997
FDM20,OUT045,3833.0580555382858
NCI06,OUT010,949.8648296806932
DRM11,OUT035,4201.869648239332
NCH07,OUT018,2234.4897255286432
FDS23,OUT013,2088.71235354248
FDO49,OUT018,608.9717982814796
FDS35,OUT049,1154.7322483758103
DRK39,OUT045,1282.0742546049341
DRI39,OUT049,1035.3849857093837
FDV04,OUT017,2622.6703884217877
NCN14,OUT035,3002.7653338733253
FDH08,OUT013,3689.366288732557
FDS20,OUT046,2919.405655519914
FDV40,OUT049,1333.146416655651
FDZ48,OUT010,-123.92571405644117
FDS24,OUT027,2898.5248972799936
FDK44,OUT049,2841.140158065772
FDS48,OUT045,2359.522976310702
FDK26,OUT010,1109.760733194954
FDD23,OUT045,2973.6079530466795
NCH54,OUT017,2639.691352173858
NCP14,OUT010,-218.2925360281231
FDM60,OUT010,-1179.9091913291293
FDV24,OUT017,2494.2279243380026
FDH08,OUT018,3359.5969921341803
FDS12,OUT027,3459.1618609923817
FDR39,OUT027,4299.764446619876
FDP12,OUT027,2111.774388796616
DRF60,OUT027,5156.818484231837
FDC09,OUT035,1835.7353061353772
FDF50,OUT018,2869.1446134091793
FDG28,OUT035,4016.2563538662907
NCE19,OUT017,994.1206772503313
NCM53,OUT010,-170.10686410125982
NCN18,OUT049,1867.6649322798419
FDF32,OUT035,3283.991121568669
FDF11,OUT013,3853.545138174043
DRI59,OUT049,3632.1300189944313
NCG54,OUT035,2803.4508548895783
FDM44,OUT046,1660.7825316465269
FDT57,OUT018,3474.1655729061285
FDV24,OUT046,2415.620912240346
FDI50,OUT019,1749.5784168057287
FDS09,OUT035,1025.6331441461366
NCC31,OUT027,3891.8866947560464
FDQ07,OUT019,1591.249489945288
FDC22,OUT017,3149.8357180976463
FDZ56,OUT046,2713.912980408775
FDZ40,OUT019,-981.3072174051026
