Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1832.6016630961276
FDW14,OUT017,1551.5637204547807
NCN55,OUT010,625.552120631906
FDQ58,OUT017,2626.2659887950517
FDY38,OUT027,5801.448015445678
FDH56,OUT046,1877.5472411191615
FDL48,OUT018,523.3900746630462
FDC48,OUT027,2333.891208719411
FDN33,OUT045,1420.9071435859419
FDA36,OUT017,3152.1655598099405
FDT44,OUT017,1953.7578728205478
FDQ56,OUT045,1220.4634585548934
NCC54,OUT019,589.7888284526659
FDU11,OUT049,2032.0650720149067
DRL59,OUT013,731.2164983739079
FDM24,OUT049,2558.2841033787477
FDI57,OUT045,3081.4088240744213
DRC12,OUT018,2721.7908443972083
NCM42,OUT027,2989.3993374812762
FDA46,OUT010,456.3682529137433
FDA31,OUT013,2805.079476739079
NCJ31,OUT035,3891.84455189454
FDG52,OUT046,659.737667165941
NCL19,OUT019,314.17641516981763
FDS10,OUT035,3052.951709596874
FDX22,OUT010,539.6065407476057
NCF19,OUT035,730.0336812383462
NCE06,OUT046,2509.062447030687
DRC27,OUT046,3880.6951616884144
FDE21,OUT035,2022.4975193735254
NCR42,OUT019,-3.7623619015304404
FDX51,OUT018,2856.4310105689087
NCR06,OUT018,437.0471827482452
FDU31,OUT027,5573.724197059427
FDU59,OUT017,2727.8871930267906
FDR03,OUT027,5333.002272622979
FDS49,OUT027,2296.129140708277
FDD48,OUT010,239.8176847965306
NCF18,OUT017,3137.9331555713306
NCD43,OUT027,2842.2178389713226
NCD54,OUT018,1998.5776084289696
FDY19,OUT010,226.74404698805114
NCY54,OUT017,2798.4891901777487
NCL19,OUT018,1977.3636546079595
FDP23,OUT010,567.4829896403389
FDC26,OUT013,1769.227024468849
FDR14,OUT010,70.62248004658706
NCS41,OUT035,3057.0968039651802
FDF41,OUT035,4099.255126751166
FDU34,OUT046,1968.3244083970435
DRH11,OUT046,841.307907309812
FDM03,OUT013,1677.101463609046
FDS31,OUT017,3066.97391396504
FDJ20,OUT017,2036.8695735448912
FDV44,OUT027,4946.115700320938
FDG02,OUT049,3160.738188611115
FDA09,OUT013,2983.6402187658637
FDT04,OUT013,469.1335798316417
FDL58,OUT019,692.2541846312308
FDE52,OUT045,1382.4968990645687
FDW12,OUT035,2524.3994380385134
FDL51,OUT017,3608.388908033379
NCY42,OUT027,3754.4514464419403
FDR07,OUT017,1593.5075875325542
FDN40,OUT045,2328.2718719523086
FDB35,OUT027,2574.950773749554
FDA22,OUT017,2758.7082921623237
NCL06,OUT046,4156.63838153952
FDI35,OUT013,2940.969204581714
NCW42,OUT045,3419.2178623419277
NCX06,OUT049,2971.052157552517
FDC37,OUT027,2980.287292478088
FDZ14,OUT018,1662.0204400216421
DRG49,OUT049,4016.116752100812
NCG06,OUT045,4002.5974148681266
DRC36,OUT045,2701.524823696366
FDV21,OUT019,262.56151175096824
FDB53,OUT046,2296.623688927775
DRP47,OUT019,627.0096563784077
FDA14,OUT013,2336.028371081304
DRC24,OUT035,2574.754758655157
FDW21,OUT018,1336.8626541302338
NCH29,OUT046,1502.9727169715645
FDU58,OUT013,3120.6026129407965
FDY27,OUT017,2984.8133386017357
FDV56,OUT035,1918.2622262388006
FDT59,OUT046,3705.376393029979
FDB23,OUT046,3665.2854083530656
FDR49,OUT045,640.132772419567
FDB03,OUT010,617.4773478821439
