Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1575.495799162788
FDW14,OUT017,1387.9624765937476
NCN55,OUT010,573.2878567718369
FDQ58,OUT017,2403.465629764404
FDY38,OUT027,5839.911366346811
FDH56,OUT046,1862.8964560407694
FDL48,OUT018,793.9090829748679
FDC48,OUT027,2203.3758529766956
FDN33,OUT045,1568.9950256921522
FDA36,OUT017,3168.593599058525
FDT44,OUT017,1864.0584209631127
FDQ56,OUT045,1411.177918618301
NCC54,OUT019,573.3416323823416
FDU11,OUT049,2015.0335779813242
DRL59,OUT013,806.8419107209168
FDM24,OUT049,2383.585396300617
FDI57,OUT045,2989.0350661459984
DRC12,OUT018,2894.881449855186
NCM42,OUT027,2925.32246331623
FDA46,OUT010,508.2661439677364
FDA31,OUT013,2739.2536534348123
NCJ31,OUT035,3808.9921337613555
FDG52,OUT046,784.2646840967761
NCL19,OUT019,286.6839309347057
FDS10,OUT035,2992.6378619558263
FDX22,OUT010,564.3430379230135
NCF19,OUT035,786.764985011027
NCE06,OUT046,2440.2928994853405
DRC27,OUT046,3928.337462004753
FDE21,OUT035,2029.913763409466
NCR42,OUT019,131.69935063582065
FDX51,OUT018,2933.17808178013
NCR06,OUT018,672.4333020591657
FDU31,OUT027,5839.911366346811
FDU59,OUT017,2460.0288326628715
FDR03,OUT027,5839.911366346811
FDS49,OUT027,2109.090200145911
FDD48,OUT010,268.55293359797804
NCF18,OUT017,3022.538156141063
NCD43,OUT027,2859.6213254194045
NCD54,OUT018,2140.051472002281
FDY19,OUT010,268.9717239202035
NCY54,OUT017,2779.464188151508
NCL19,OUT018,2418.503568799646
FDP23,OUT010,572.3447133818256
FDC26,OUT013,1704.6647808200184
FDR14,OUT010,131.69935063582065
NCS41,OUT035,3255.9452114946735
FDF41,OUT035,3837.9285479877576
FDU34,OUT046,2012.535383670488
DRH11,OUT046,893.4583216854593
FDM03,OUT013,1617.0137657561406
FDS31,OUT017,3170.461995278423
FDJ20,OUT017,1978.5761086226867
FDV44,OUT027,5168.654706893334
FDG02,OUT049,3165.7739375956157
FDA09,OUT013,3052.5618216786725
FDT04,OUT013,624.0051573348901
FDL58,OUT019,573.3416323823416
FDE52,OUT045,1389.586874892278
FDW12,OUT035,2419.990564007804
FDL51,OUT017,3748.882861875923
NCY42,OUT027,3026.101656970557
FDR07,OUT017,1553.2246144281492
FDN40,OUT045,2388.1428386547796
FDB35,OUT027,2721.681008089098
FDA22,OUT017,2445.2458684453
NCL06,OUT046,4222.501322910285
FDI35,OUT013,3157.489510117976
NCW42,OUT045,3797.7609958256485
NCX06,OUT049,3019.8968554821463
FDC37,OUT027,2891.3524395306613
FDZ14,OUT018,1879.3720686073723
DRG49,OUT049,3923.243349167555
NCG06,OUT045,4116.553463019001
DRC36,OUT045,2829.7047369108336
FDV21,OUT019,280.2366233551841
FDB53,OUT046,2620.6774853295124
DRP47,OUT019,573.3416323823416
FDA14,OUT013,2472.0147104087646
DRC24,OUT035,2552.9626673780813
FDW21,OUT018,1611.0969127973096
NCH29,OUT046,1580.7616783481267
FDU58,OUT013,3144.579491127567
FDY27,OUT017,2884.960788103932
FDV56,OUT035,1693.1856423452605
FDT59,OUT046,3809.905630781956
FDB23,OUT046,3802.757299732688
FDR49,OUT045,774.4987305863043
FDB03,OUT010,573.10040234716
FDN39,OUT045,2756.4255090891506
FDX02,OUT027,5839.911366346811
FDQ16,OUT027,2888.2652212413527
FDU35,OUT018,1519.3917803106704
NCT29,OUT013,1918.9115076512628
FDZ27,OUT046,776.5185541035072
FDN57,OUT017,2027.8467274693735
FDA03,OUT018,2398.2425756372463
FDZ36,OUT045,3276.545657831063
NCU05,OUT013,1336.7167656475985
FDT39,OUT018,2335.3214080383314
FDK60,OUT017,1574.5276463637626
FDZ25,OUT017,2966.3155355468452
FDG12,OUT046,2094.36398548735
DRB01,OUT019,506.84647562887795
NCC43,OUT027,5839.911366346811
FDX13,OUT019,573.0351737664223
FDM22,OUT049,916.3578353361826
FDJ03,OUT027,1077.70198469568
FDU14,OUT018,3731.808148824916
FDB33,OUT010,379.3560156112942
FDP27,OUT046,3220.239380816231
FDO38,OUT010,154.84568436958082
FDE28,OUT027,5839.911366346811
FDO27,OUT035,1571.700572210491
DRL23,OUT027,2877.400588258507
FDS28,OUT046,893.5548761890453
FDX24,OUT013,1415.8490173944417
FDZ02,OUT035,1600.4626141193387
FDL46,OUT045,1830.3993551997878
FDS60,OUT027,4751.656734767639
NCO06,OUT017,605.51489013293
