Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1879.9909413355936
FDW14,OUT017,1607.5691724650185
NCN55,OUT010,1836.8045972443608
FDQ58,OUT017,2578.9457789481385
FDY38,OUT027,5075.020285957008
FDH56,OUT046,1933.0659456414169
FDL48,OUT018,670.5383253840125
FDC48,OUT027,2803.2184907735927
FDN33,OUT045,1538.5681328424098
FDA36,OUT017,3054.8906381477836
FDT44,OUT017,1999.9565687709637
FDQ56,OUT045,1351.0496554622775
NCC54,OUT019,1803.7371965494183
FDU11,OUT049,2068.2776077826657
DRL59,OUT013,956.2080066179324
FDM24,OUT049,2547.611646841735
FDI57,OUT045,3045.0799228012434
DRC12,OUT018,2726.3128015889624
NCM42,OUT027,3193.183964551551
FDA46,OUT010,1119.455016693839
FDA31,OUT013,2774.580405820449
NCJ31,OUT035,3783.042876472253
FDG52,OUT046,862.3909401150024
NCL19,OUT019,403.5906922285279
FDS10,OUT035,2989.9423168760864
FDX22,OUT010,1454.1222166836162
NCF19,OUT035,990.3728648767184
NCE06,OUT046,2509.5202926991346
DRC27,OUT046,3756.6400004990996
FDE21,OUT035,2045.8593292155483
NCR42,OUT019,-1244.342060387468
FDX51,OUT018,2841.7049836044607
NCR06,OUT018,516.6132862765685
FDU31,OUT027,4865.265652357468
FDU59,OUT017,2686.1791232406226
FDR03,OUT027,4683.763224053843
FDS49,OUT027,2769.765212763039
FDD48,OUT010,-6.34571763759962
NCF18,OUT017,3068.182988460864
NCD43,OUT027,3104.4235940386725
NCD54,OUT018,2001.1511884185227
FDY19,OUT010,22.505656457245067
NCY54,OUT017,2769.16174339263
NCL19,OUT018,2029.7883995842928
FDP23,OUT010,1520.3318116218904
FDC26,OUT013,1836.9426359292481
FDR14,OUT010,-957.0348484165538
NCS41,OUT035,2993.2684365922632
FDF41,OUT035,3955.8247192016147
FDU34,OUT046,2000.379626136376
DRH11,OUT046,973.6345124932728
FDM03,OUT013,1755.928894243922
FDS31,OUT017,2991.9185524600794
FDJ20,OUT017,2099.2158045642286
FDV44,OUT027,4429.780634901862
FDG02,OUT049,3082.316749771143
FDA09,OUT013,2922.2223966537404
FDT04,OUT013,748.2679225409738
FDL58,OUT019,2227.28303334421
FDE52,OUT045,1488.5676751942644
FDW12,OUT035,2502.4192820324465
FDL51,OUT017,3491.0937377731034
NCY42,OUT027,3666.918543383812
FDR07,OUT017,1688.5872606899063
FDN40,OUT045,2355.4083757175604
FDB35,OUT027,2964.004119650137
FDA22,OUT017,2713.1275526654113
NCL06,OUT046,4012.2883558233534
FDI35,OUT013,2890.043415444903
NCW42,OUT045,3353.153756511379
NCX06,OUT049,2918.5197120188004
FDC37,OUT027,3198.970550929065
FDZ14,OUT018,1757.9117823487302
DRG49,OUT049,3871.7893234451194
NCG06,OUT045,3877.2808078578764
DRC36,OUT045,2694.0202044598996
FDV21,OUT019,74.58096762311035
FDB53,OUT046,2330.1015688564457
DRP47,OUT019,1958.038466604421
FDA14,OUT013,2345.9882637135242
DRC24,OUT035,2553.1178067689657
FDW21,OUT018,1452.0052527744972
NCH29,OUT046,1582.214092591309
FDU58,OUT013,3047.5879866081077
FDY27,OUT017,2907.9404215870036
FDV56,OUT035,1976.216472644488
FDT59,OUT046,3588.924085788914
FDB23,OUT046,3556.3285068266155
FDR49,OUT045,757.9697753712559
FDB03,OUT010,1853.5225373553087
FDN39,OUT045,2616.8163437577477
FDX02,OUT027,4892.911153151345
FDQ16,OUT027,3189.7725083124997
FDU35,OUT018,1366.9003983569698
NCT29,OUT013,1976.7321984098387
FDZ27,OUT046,887.9751327645854
FDN57,OUT017,2344.2791589667445
FDA03,OUT018,2099.16952741998
FDZ36,OUT045,2892.6479615143558
NCU05,OUT013,1371.923599098704
FDT39,OUT018,2198.346704153454
FDK60,OUT017,1730.693218888227
FDZ25,OUT017,2823.0347557266336
FDG12,OUT046,2028.7141564561948
DRB01,OUT019,1093.5752367609157
NCC43,OUT027,5257.121159173807
FDX13,OUT019,1986.729525595163
FDM22,OUT049,1098.4198588236482
FDJ03,OUT027,2346.2401298843733
FDU14,OUT018,3618.7157215905627
FDB33,OUT010,667.4198595945285
FDP27,OUT046,2961.5931221867654
FDO38,OUT010,-587.7177923208725
FDE28,OUT027,5038.09786329291
FDO27,OUT035,1717.7440594972195
DRL23,OUT027,3163.2503502543977
FDS28,OUT046,1020.3646652741069
FDX24,OUT013,1587.7926854022674
FDZ02,OUT035,1783.9220832047065
FDL46,OUT045,1832.7027676634145
FDS60,OUT027,4244.548583396843
NCO06,OUT017,704.0993603460558
FDO16,OUT035,1578.3390327287993
FDC60,OUT049,1582.6614824469716
FDA48,OUT018,3140.4341962583585
FDZ36,OUT027,4410.322474917868
FDK27,OUT045,1907.7285621528993
